=== Trace for PID 229 ===
Process: alphapd

--- Self PID 229 Trace ---
  [007] inode: 8228, pc: 0x0005662c, module: libuClibc-0.9.28.so, symbol: sigprocmask
  [008] inode: 16391, pc: 0x0004af98, module: busybox
  [009] inode: 8228, pc: 0x000571c0, module: libuClibc-0.9.28.so, symbol: vfork
  [010] inode: 16391, pc: 0x0004af80, module: busybox
  [011] inode: 16391, pc: 0x0004af60, module: busybox
  [012] inode: 8195, pc: 0x00000a50, module: ld-uClibc-0.9.28.so, symbol: _dl_runtime_resolve
  [013] inode: 16391, pc: 0x0004af48, module: busybox
  [014] inode: 8195, pc: 0x00000a50, module: ld-uClibc-0.9.28.so, symbol: _dl_runtime_resolve
  [015] inode: 16391, pc: 0x0004af30, module: busybox
  [016] inode: 8195, pc: 0x00000a50, module: ld-uClibc-0.9.28.so, symbol: _dl_runtime_resolve
  [017] inode: 16391, pc: 0x0004af04, module: busybox
  [018] inode: 16391, pc: 0x0004b178, module: busybox
  [019] inode: 16391, pc: 0x0004b168, module: busybox
  [020] inode: 16391, pc: 0x0004b154, module: busybox
  [021] inode: 16391, pc: 0x0004b118, module: busybox
  [022] inode: 16391, pc: 0x0004bd60, module: busybox, symbol: init_main
  [023] inode: 16391, pc: 0x0004bd20, module: busybox, symbol: init_main
  [024] inode: 8228, pc: 0x0004ed80, module: libuClibc-0.9.28.so, symbol: memset
  [025] inode: 16391, pc: 0x0004bd18, module: busybox, symbol: init_main
  [026] inode: 16391, pc: 0x0004bd44, module: busybox, symbol: init_main
  [027] inode: 8228, pc: 0x0004f130, module: libuClibc-0.9.28.so, symbol: strlen
