=== Trace for PID 2215 ===
Process: ethlink

--- Self PID 2215 Trace ---
  [118] inode: 32770, pc: 0x000460c0, module: busybox
  [119] inode: 32770, pc: 0x0004609c, module: busybox
  [120] inode: 32770, pc: 0x000126c4, module: busybox
  [121] inode: 32770, pc: 0x000126bc, module: busybox
  [122] inode: 32770, pc: 0x000126a0, module: busybox
  [123] inode: 32770, pc: 0x0004608c, module: busybox
  [124] inode: 32770, pc: 0x000460c0, module: busybox
  [125] inode: 32770, pc: 0x0004609c, module: busybox
  [126] inode: 32770, pc: 0x000126c4, module: busybox
  [127] inode: 32770, pc: 0x000126bc, module: busybox
  [128] inode: 32770, pc: 0x000126a0, module: busybox
  [129] inode: 32770, pc: 0x0004608c, module: busybox
  [130] inode: 32770, pc: 0x000460c0, module: busybox
  [131] inode: 32770, pc: 0x0004609c, module: busybox
  [132] inode: 32770, pc: 0x000126c4, module: busybox
  [133] inode: 32770, pc: 0x000126bc, module: busybox
  [134] inode: 32770, pc: 0x000126a0, module: busybox
  [135] inode: 32770, pc: 0x0004608c, module: busybox
  [136] inode: 32770, pc: 0x000460c4, module: busybox
  [137] inode: 32770, pc: 0x0004603c, module: busybox
  [138] inode: 32770, pc: 0x00046034, module: busybox
  [139] inode: 32770, pc: 0x00045fb4, module: busybox
  [140] inode: 32770, pc: 0x00045f90, module: busybox
  [141] inode: 32770, pc: 0x00045f3c, module: busybox
  [142] inode: 32770, pc: 0x000469ac, module: busybox
  [143] inode: 32770, pc: 0x000468d8, module: busybox
  [144] inode: 32770, pc: 0x000468ac, module: busybox
  [145] inode: 32770, pc: 0x00049c18, module: busybox
  [146] inode: 32770, pc: 0x00049c00, module: busybox
  [147] inode: 32770, pc: 0x00044b60, module: busybox
  [148] inode: 32770, pc: 0x00044b48, module: busybox
  [149] inode: 32770, pc: 0x00044b30, module: busybox
  [150] inode: 32770, pc: 0x00043fac, module: busybox
  [151] inode: 32770, pc: 0x00043f98, module: busybox
