=== Trace for PID 2811 ===
Process: setup.cgi

--- Self PID 2811 Trace ---
  [014] inode: 41301, pc: 0x000095c0, module: mini_httpd
  [015] inode: 49218, pc: 0x0002f920, module: libuClibc-0.9.30.so
  [016] inode: 41301, pc: 0x000095d4, module: mini_httpd
  [017] inode: 41301, pc: 0x00009638, module: mini_httpd
  [018] inode: 49218, pc: 0x0002f950, module: libuClibc-0.9.30.so
  [019] inode: 41301, pc: 0x00009650, module: mini_httpd
  [020] inode: 41301, pc: 0x00002104, module: mini_httpd
  [021] inode: 49218, pc: 0x000450bc, module: libuClibc-0.9.30.so
  [022] inode: 41301, pc: 0x00009660, module: mini_httpd
  [023] inode: 49218, pc: 0x0002f950, module: libuClibc-0.9.30.so
  [024] inode: 41301, pc: 0x00009678, module: mini_httpd
  [025] inode: 41301, pc: 0x000024b8, module: mini_httpd
  [026] inode: 49218, pc: 0x0004a880, module: libuClibc-0.9.30.so
  [027] inode: 41301, pc: 0x000024c8, module: mini_httpd
  [028] inode: 49218, pc: 0x00010c60, module: libuClibc-0.9.30.so
  [029] inode: 41301, pc: 0x000024e0, module: mini_httpd
  [030] inode: 41301, pc: 0x000024f0, module: mini_httpd
  [031] inode: 41301, pc: 0x000024cc, module: mini_httpd
  [032] inode: 49218, pc: 0x00010c60, module: libuClibc-0.9.30.so
  [033] inode: 41301, pc: 0x000024e0, module: mini_httpd
  [034] inode: 41301, pc: 0x000024f0, module: mini_httpd
  [035] inode: 41301, pc: 0x000024f8, module: mini_httpd
  [036] inode: 49218, pc: 0x00015070, module: libuClibc-0.9.30.so
  [037] inode: 41301, pc: 0x00002500, module: mini_httpd
  [038] inode: 41301, pc: 0x00002514, module: mini_httpd
  [039] inode: 49218, pc: 0x0000be94, module: libuClibc-0.9.30.so
  [040] inode: 41301, pc: 0x00009688, module: mini_httpd
  [041] inode: 41301, pc: 0x000096a0, module: mini_httpd
  [042] inode: 41301, pc: 0x00009788, module: mini_httpd
  [043] inode: 49218, pc: 0x0000b344, module: libuClibc-0.9.30.so
  [044] inode: 41301, pc: 0x00009798, module: mini_httpd
  [045] inode: 41301, pc: 0x000097bc, module: mini_httpd
  [046] inode: 49218, pc: 0x0000b884, module: libuClibc-0.9.30.so
  [047] inode: 41301, pc: 0x000097c8, module: mini_httpd
  [048] inode: 41301, pc: 0x00009354, module: mini_httpd
  [049] inode: 49218, pc: 0x0000b344, module: libuClibc-0.9.30.so
