=== Trace for PID 2232 ===
Process: mini_httpd

--- Self PID 2232 Trace ---
  [035] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [036] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [037] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [038] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [039] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [040] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [041] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [042] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [043] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [044] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [045] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [046] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [047] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [048] inode: 41301, pc: 0x00009380, module: mini_httpd, symbol: main
  [049] inode: 41301, pc: 0x00009368, module: mini_httpd, symbol: main
  [050] inode: 16450, pc: 0x0000b344, module: libuClibc-0.9.30.so, symbol: access
  [051] inode: 41301, pc: 0x00009354, module: mini_httpd, symbol: main
  [052] inode: 41301, pc: 0x000097c8, module: mini_httpd, symbol: main
  [053] inode: 16450, pc: 0x0000b884, module: libuClibc-0.9.30.so, symbol: close
  [054] inode: 41301, pc: 0x000097b8, module: mini_httpd, symbol: main
  [055] inode: 41301, pc: 0x00009798, module: mini_httpd, symbol: main
  [056] inode: 16450, pc: 0x0000b344, module: libuClibc-0.9.30.so, symbol: access
  [057] inode: 41301, pc: 0x00009788, module: mini_httpd, symbol: main
  [058] inode: 41301, pc: 0x000096a0, module: mini_httpd, symbol: main
  [059] inode: 41301, pc: 0x00009688, module: mini_httpd, symbol: main
  [060] inode: 16450, pc: 0x0000be94, module: libuClibc-0.9.30.so, symbol: __libc_fork
  [061] inode: 41301, pc: 0x00009678, module: mini_httpd, symbol: main
  [062] inode: 16450, pc: 0x0002f950, module: libuClibc-0.9.30.so, symbol: strcpy
  [063] inode: 41301, pc: 0x00009660, module: mini_httpd, symbol: main
  [064] inode: 16450, pc: 0x000450bc, module: libuClibc-0.9.30.so, symbol: inet_ntoa
  [065] inode: 41301, pc: 0x00002104, module: mini_httpd
  [066] inode: 41301, pc: 0x00009650, module: mini_httpd, symbol: main
  [067] inode: 16450, pc: 0x0002f950, module: libuClibc-0.9.30.so, symbol: strcpy
  [068] inode: 41301, pc: 0x00009638, module: mini_httpd, symbol: main
  [069] inode: 41301, pc: 0x000095d4, module: mini_httpd, symbol: main
  [070] inode: 16450, pc: 0x0002f920, module: libuClibc-0.9.30.so, symbol: strcmp
  [071] inode: 41301, pc: 0x000095c8, module: mini_httpd, symbol: main
  [072] inode: 16450, pc: 0x000450bc, module: libuClibc-0.9.30.so, symbol: inet_ntoa
  [073] inode: 41301, pc: 0x00002104, module: mini_httpd
  [074] inode: 41301, pc: 0x000095b0, module: mini_httpd, symbol: main
  [075] inode: 41301, pc: 0x0000957c, module: mini_httpd, symbol: main
  [076] inode: 41301, pc: 0x000018a4, module: mini_httpd
  [077] inode: 16450, pc: 0x0000b884, module: libuClibc-0.9.30.so, symbol: close
  [078] inode: 41301, pc: 0x00001890, module: mini_httpd
  [079] inode: 16450, pc: 0x00012cc0, module: libuClibc-0.9.30.so, symbol: lockf64
  [080] inode: 41301, pc: 0x00001888, module: mini_httpd
  [081] inode: 41301, pc: 0x0000184c, module: mini_httpd
  [082] inode: 41301, pc: 0x00009564, module: mini_httpd, symbol: main
  [083] inode: 16450, pc: 0x000248b0, module: libuClibc-0.9.30.so, symbol: fclose
  [084] inode: 41301, pc: 0x00001920, module: mini_httpd
  [085] inode: 16450, pc: 0x0002d3b0, module: libuClibc-0.9.30.so, symbol: fread
  [086] inode: 41301, pc: 0x00001918, module: mini_httpd
  [087] inode: 41301, pc: 0x00001908, module: mini_httpd
  [088] inode: 16450, pc: 0x00026710, module: libuClibc-0.9.30.so, symbol: fopen64
  [089] inode: 41301, pc: 0x000018c0, module: mini_httpd
  [090] inode: 41301, pc: 0x0000954c, module: mini_httpd, symbol: main
  [091] inode: 41301, pc: 0x0000183c, module: mini_httpd
  [092] inode: 41301, pc: 0x00001818, module: mini_httpd
  [093] inode: 16450, pc: 0x00012cc0, module: libuClibc-0.9.30.so, symbol: lockf64
  [094] inode: 41301, pc: 0x00001810, module: mini_httpd
  [095] inode: 41301, pc: 0x00001808, module: mini_httpd
  [096] inode: 16450, pc: 0x0000e000, module: libuClibc-0.9.30.so, symbol: open64
  [097] inode: 41301, pc: 0x000017b8, module: mini_httpd
  [098] inode: 41301, pc: 0x00009538, module: mini_httpd, symbol: main
  [099] inode: 41301, pc: 0x000094f8, module: mini_httpd, symbol: main
  [100] inode: 16450, pc: 0x00049ad4, module: libuClibc-0.9.30.so, symbol: accept
  [101] inode: 41301, pc: 0x000094dc, module: mini_httpd, symbol: main
  [102] inode: 41301, pc: 0x00009488, module: mini_httpd, symbol: main
  [103] inode: 41301, pc: 0x00009478, module: mini_httpd, symbol: main
  [104] inode: 41301, pc: 0x00009424, module: mini_httpd, symbol: main
  [105] inode: 41301, pc: 0x00009418, module: mini_httpd, symbol: main
  [106] inode: 41301, pc: 0x000093ac, module: mini_httpd, symbol: main
  [107] inode: 41301, pc: 0x00009398, module: mini_httpd, symbol: main
  [108] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [109] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [110] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [111] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
  [112] inode: 41301, pc: 0x00009388, module: mini_httpd, symbol: main
